# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Sun May 30 04:54:07 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.002 -0.88764 10.00000 0.0900000036 1.0816895962    0.090 -3.256  3.4360  5.344    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.95e-17      0.00 7.443e-01 2.537e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 12.909 21.536 18.824 16.814 14.699 12.584 10.823 10.443 10.260
0.002 -0.88764 10.00000 0.0922682509 1.1030691862    0.092 -3.202  3.4436  5.331    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.62e-17      0.00 7.440e-01 2.540e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 12.774 21.055 18.442 16.461 14.450 12.406 10.710 10.308 10.123
0.002 -0.88764 10.00000 0.0991803259 1.1642227173    0.099 -3.045  3.4655  5.294    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.12e-17      0.00 7.434e-01 2.546e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 12.383 19.645 17.345 15.431 13.717 11.908 10.389 9.928 9.731
0.002 -0.88764 10.00000 0.1013671532 1.1824262142    0.101 -3.011  3.4697  5.286    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.77e-17      0.00 7.432e-01 2.548e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 12.298 19.376 17.133 15.232 13.570 11.805 10.317 9.847 9.647
0.002 -0.88764 10.00000 0.1175409779 1.3028897047    0.117 -2.781  3.4977  5.231    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.47e-16      0.00 7.420e-01 2.560e-01 3.596e-04 9.702e-05 8.799e-04 -1.000 2.000e-03 11.723 17.646 15.771 13.962 12.591 11.136 9.830 9.309 9.097
0.002 -0.88764 10.00000 0.1359016299 1.4159166813    0.136 -2.598  3.5166  5.187    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.19e-16      0.00 7.407e-01 2.573e-01 3.596e-04 9.702e-05 8.800e-04 -1.000 2.000e-03 11.266 16.507 14.855 13.131 11.899 10.636 9.433 8.890 8.672
0.002 -0.88764 10.00000 0.1542622894 1.5106534958    0.154 -2.460  3.5289  5.152    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.95e-16      0.00 7.397e-01 2.583e-01 3.596e-04 9.702e-05 8.800e-04 -1.000 2.000e-03 10.919 15.772 14.245 12.585 11.422 10.268 9.122 8.568 8.350
0.002 -0.88764 10.00000 0.1909836084 1.6623624563    0.190 -2.250  3.5439  5.095    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.6e-16      0.00 7.383e-01 2.597e-01 3.596e-04 9.703e-05 8.800e-04 -1.000 2.000e-03 10.395 14.826 13.431 11.856 10.762 9.724 8.643 8.078 7.860
0.002 -0.88764 10.00000 0.2368852347 1.8058542013    0.236 -2.049  3.5559  5.035    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.02e-16      0.00 7.376e-01 2.604e-01 3.596e-04 9.703e-05 8.800e-04 -1.000 2.000e-03 9.892 14.016 12.715 11.208 10.163 9.210 8.176 7.603 7.386
0.002 -0.88764 10.00000 0.2827868760 1.9170974493    0.282 -1.890  3.5649  4.989    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.86e-17      0.00 7.375e-01 2.605e-01 3.596e-04 9.703e-05 8.800e-04 -1.000 2.000e-03 9.495 13.412 12.175 10.714 9.702 8.807 7.806 7.228 7.012
